customer_id,Segment_D4,cluster,cluster_name,recommended_action,Recency,Frequency,Monetary
C0487,G2 Loyal,3,穩定中段,推次高規則 + 定期 Banner 維繫,40,9,25677
C0068,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,21,13,55898
C0812,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",20,5,36380
C0494,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",12,5,25226
C0311,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,28,9,25783
C1097,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,61,4,8284
C1248,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,96,3,5712
C0185,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,34,12,85000
C0307,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,21,7,53048
C0853,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,13,7,28713
C0793,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,36,5,31395
C0290,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,5,11,48697
C0707,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,42,7,8420
C1330,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",114,1,19317
C0655,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,12,7,26754
C0523,G6 At Risk,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,47,10,25699
C0462,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",32,9,7143
C0931,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",54,3,15322
C1035,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",62,2,15234
C0030,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,10,11,101438
C0241,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,9,7,39697
C0799,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,8,11,33932
C0818,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,33,11,90161
C0066,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,3,12,168830
C0602,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,35,5,34335
C0925,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",49,2,24744
C0755,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,15,10,22526
C0927,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",72,3,8514
C1102,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",93,2,11588
C0248,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,31,7,67372
C0278,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,16,11,16100
C1403,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,259,2,5259
C1067,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",77,2,23249
C0480,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,21,10,22871
C0427,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,24,9,14722
C0124,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,11,8,69816
C1170,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,103,3,11357
C0395,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,11,8,40323
C0986,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",45,4,25492
C0716,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,23,5,28482
C1135,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",87,0,8536
C1085,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",115,0,40491
C0498,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,14,8,34398
C0045,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,0,11,8563
C0060,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,18,7,39759
C1162,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,96,4,30070
C0024,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,13,21,67737
C0875,G3 Big Spenders,3,穩定中段,推次高規則 + 定期 Banner 維繫,22,3,47489
C0482,G3 Big Spenders,3,穩定中段,推次高規則 + 定期 Banner 維繫,10,4,31789
C1325,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",50,2,25184
C0746,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,15,9,34344
C0232,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,25,11,21995
C0125,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,26,22,139015
C0428,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,45,4,67511
C0819,G6 At Risk,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,47,7,46767
C0169,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,19,10,34115
C0116,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,26,22,60343
C1089,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",57,2,36910
C0987,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",73,2,25602
C1396,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,175,0,6892
C1425,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,219,1,5849
C0416,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,41,8,16953
C0142,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,4,22,58123
C1234,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,95,3,33178
C1294,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,82,3,11034
C0763,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,26,8,43519
C1207,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",99,1,28716
C0463,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",31,7,27893
C1244,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",40,2,4825
C0079,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,6,18,28692
C1005,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",51,2,14353
C1491,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,190,3,5664
C0572,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,47,5,15193
C0016,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,7,11,128571
C0495,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,36,9,25672
C0351,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",8,8,16180
C1000,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,114,0,40872
C0275,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,17,9,41276
C1192,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",98,1,53112
C0272,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,38,10,31678
C1474,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,119,0,2921
C0238,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",40,4,32329
C0586,G3 Big Spenders,3,穩定中段,推次高規則 + 定期 Banner 維繫,13,4,44822
C1313,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",83,1,15518
C0695,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,36,7,45356
C1002,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",93,0,16599
C0323,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,8,10,47712
C0783,G3 Big Spenders,3,穩定中段,推次高規則 + 定期 Banner 維繫,2,4,43990
C1359,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,246,1,5630
C1204,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",58,3,10344
C0971,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",98,0,17711
C1467,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,205,1,5781
C0527,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,39,5,56401
C1426,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,245,0,13480
C1171,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",102,4,29901
C0176,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,7,10,64780
C0359,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,20,7,64133
C0044,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,15,10,48843
C0417,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,18,9,85555
C0345,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",6,3,25036
C1027,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",106,3,26538
C1402,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,247,3,7821
C0102,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,15,22,121684
C0108,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,7,15,51666
C1490,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,330,2,6867
C1053,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,68,2,7279
C0965,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",61,4,21109
C0381,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,26,9,8566
C0245,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,40,10,10514
C1100,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",116,1,8249
C0501,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,2,5,15996
C0701,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,31,8,36587
C0129,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,1,16,31967
C0240,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,20,5,37721
C1115,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,79,2,35144
C0683,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,36,12,34159
C0483,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,14,7,23545
C1306,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",55,3,27476
C0276,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",40,5,39293
C0583,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,5,5,21962
C0204,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,17,6,15579
C0033,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,21,24,45639
C1320,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,79,3,9154
C0814,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,17,9,28778
C0998,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,71,3,30472
C0382,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",22,6,108815
C1074,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,63,3,13815
C1349,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,47,0,16468
C0579,G2 Loyal,3,穩定中段,推次高規則 + 定期 Banner 維繫,36,8,22700
C0888,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,17,5,35040
C1326,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,125,3,9154
C1327,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",128,2,12437
C0942,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",67,0,16608
C0164,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,39,11,29823
C0910,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,71,4,7075
C0298,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,28,7,7859
C0756,G2 Loyal,3,穩定中段,推次高規則 + 定期 Banner 維繫,38,8,22020
C0406,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,11,12,14182
C0969,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",104,1,57114
C0606,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,22,9,18962
C0421,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,40,5,45167
C0465,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,18,9,79711
C1188,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",115,2,20577
C0940,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",105,1,7732
C0193,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,42,11,28382
C0675,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",11,5,33628
C0352,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,38,5,28492
C0859,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,29,10,20764
C0064,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,21,22,35407
C1174,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,109,0,10352
C0766,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,38,9,17411
C1441,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,212,0,13692
C0262,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,2,5,28685
C0343,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,32,7,37123
C1221,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",72,2,11794
C0472,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",27,7,28858
C1335,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,126,0,28999
C0199,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,25,7,24833
C1232,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",52,1,35009
C0918,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",66,2,9284
C0744,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,33,9,38831
C0571,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",38,7,58198
C0219,G8 Lost,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,41,6,46484
C0454,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",2,9,16674
C0031,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,30,16,87151
C0057,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,3,8,83739
C1211,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",123,2,12054
C1386,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",138,1,9923
C1066,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,84,1,27907
C0431,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",31,7,67774
C0725,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,35,11,48269
C1145,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",60,2,12091
C1006,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,69,2,6705
C1051,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,108,1,23004
C1346,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,96,2,16380
C1237,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,80,3,25421
C1236,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",101,0,11995
C1449,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,205,2,7404
C0621,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,10,7,44040
C1068,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",47,2,22549
C0839,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,38,11,26843
C0100,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,19,22,48471
C0533,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,23,6,102841
C0529,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,9,9,27675
C1347,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,44,2,9514
C1173,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",54,3,41484
C1179,G6 At Risk,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",75,5,68011
C0630,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",0,6,14222
C1028,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,59,0,38921
C0271,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,31,5,40724
C1342,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,55,1,20777
C0627,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,21,9,18383
C1043,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",53,2,14691
C0977,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",60,2,18021
C0372,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,27,5,55687
C0589,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,31,9,69950
C0968,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",88,2,28123
C1166,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",66,4,14401
C1147,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",112,0,4875
C0237,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,28,6,59732
C0597,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,36,4,18143
C0963,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",57,0,45129
C1446,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",101,1,13364
C1164,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",52,0,3828
C0591,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",37,5,32863
C0209,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,47,8,16976
C1075,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,78,0,30797
C0900,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,16,5,28674
